Category,Deal Name,Amount,Price,,
Home Goods & Decor,Pyntepude 100% genanvendt polyester,50 x 17 cm,89.-,,
Home Goods & Decor,Tæppe 100% genanvendt polyester,130 x 170 cm,119.-,,
Home Goods & Decor,Tilbehør til badeværelset- Svaber brusedyse eller 2-pak smalle rengøringsbørster,Various,25.-,,
Home Goods & Decor,Toiletbørste,H: 39 cm,50.-,,
Home Goods & Decor,Toiletspand,1 liter,69.-,,
Kitchenware,Drikkeflaske Plast,1 liter,30.-,,
Kitchenware,Opbevaringsbokse med 3 rum,4-pak (900 ml),40.-,,
Kitchenware,Paninigrill,Grillflade: 27.6 cm x 17 cm,169.-,,
Kitchenware,Tilbehør til dit æg- Æggeåbner æggedeler eller 4-pak æggebægre,Various,25.-,,
Kitchenware,Æggeur eller Opbevaringsboks med elastisk låg,Various,25.-,,
Sport & Fitness,Boxershorts,3-pak (Str. M-XXL),99.-,,
Sport & Fitness,Elastikbånd,3-pak,30.-,,
Sport & Fitness,Kinesiotape,Various,30.-,,
Sport & Fitness,Løbe-bh,Str. S-XXL,79.-,,
Sport & Fitness,Løbetights,Str. S-XXL,89.-,,
Sport & Fitness,Såler med gele,Str. 35-46,30.-,,
Sport & Fitness,T-shirt,Str. M-XXL,79.-,,
Sport & Fitness,Trigger massage-bold i kork,2-pak (8 cm),30.-,,
Sport & Fitness,Yogablok i kork,2-pak (22.5 x 15 x 7.5 cm),99.-,,
Sport & Fitness,Yogamåtte med overside i kork,183 x 61 x 0,4 cm,99.-,
Clothing & Accessories,Badekåbe 100% økologisk bomuld,S/M eller L/XL,199.-,,
Clothing & Accessories,Bukser med vidde,Str. S-XXL,99.-,,
Clothing & Accessories,Håraccessories,Flere varianter,25.-,,
Clothing & Accessories,Slippers,Str. 40-45,89.-,,
Clothing & Accessories,Strømper 3-pak,Str. 36-48,25.-,,
Clothing & Accessories,Strømper 3-pak,Str. 37-41,30.-,,
Clothing & Accessories,Strømper 5-pak,Str. 36-45,40.-,,
Clothing & Accessories,Sømløse leggings eller top,Str. S-XXL,59.-,,
Clothing & Accessories,Taske,Flere varianter,99.-,,
Clothing & Accessories,Top i rib,Str. S-XXL,40.-,,
Stationery & Books,Malebog,21 x 28 cm (96 sider),50.-,,
Stationery & Books,Spirituelle kort- Engle tarot- eller drømmetyderkort,Various,40.-,,
